Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,107,3,Some Random Commen with Id 0
1,0,6,36,5,Some Random Commen with Id 1
2,0,6,141,4,Some Random Commen with Id 2
3,0,6,67,4,Some Random Commen with Id 3
4,0,6,187,1,Some Random Commen with Id 4
5,0,6,64,7,Some Random Commen with Id 5
6,1,8,60,5,Some Random Commen with Id 6
7,1,8,149,4,Some Random Commen with Id 7
8,1,8,127,2,Some Random Commen with Id 8
9,1,8,149,8,Some Random Commen with Id 9
10,1,8,64,5,Some Random Commen with Id 10
11,1,8,148,2,Some Random Commen with Id 11
12,1,8,81,3,Some Random Commen with Id 12
13,1,8,187,4,Some Random Commen with Id 13
14,1,8,15,4,Some Random Commen with Id 14
15,2,2,16,5,Some Random Commen with Id 15
16,2,2,139,1,Some Random Commen with Id 16
17,2,2,93,6,Some Random Commen with Id 17
18,2,2,105,9,Some Random Commen with Id 18
19,2,2,23,9,Some Random Commen with Id 19
20,2,2,60,5,Some Random Commen with Id 20
21,2,2,174,5,Some Random Commen with Id 21
22,2,2,60,7,Some Random Commen with Id 22
23,2,2,52,3,Some Random Commen with Id 23
24,3,8,167,8,Some Random Commen with Id 24
25,3,8,50,3,Some Random Commen with Id 25
26,3,8,22,3,Some Random Commen with Id 26
27,3,8,67,2,Some Random Commen with Id 27
28,3,8,75,4,Some Random Commen with Id 28
29,4,0,54,0,Some Random Commen with Id 29
30,4,0,175,3,Some Random Commen with Id 30
31,4,0,51,0,Some Random Commen with Id 31
32,4,0,177,2,Some Random Commen with Id 32
33,4,0,146,8,Some Random Commen with Id 33
34,4,0,81,8,Some Random Commen with Id 34
35,5,0,69,2,Some Random Commen with Id 35
36,5,0,29,6,Some Random Commen with Id 36
37,5,0,159,5,Some Random Commen with Id 37
38,5,0,181,5,Some Random Commen with Id 38
39,5,0,126,9,Some Random Commen with Id 39
40,5,0,168,9,Some Random Commen with Id 40
41,6,1,85,8,Some Random Commen with Id 41
42,7,5,44,9,Some Random Commen with Id 42
43,7,5,14,9,Some Random Commen with Id 43
44,8,7,41,6,Some Random Commen with Id 44
45,8,7,165,7,Some Random Commen with Id 45
46,8,7,105,2,Some Random Commen with Id 46
47,8,7,11,0,Some Random Commen with Id 47
48,8,7,87,9,Some Random Commen with Id 48
49,8,7,32,8,Some Random Commen with Id 49
50,8,7,5,7,Some Random Commen with Id 50
51,12,2,162,2,Some Random Commen with Id 51
52,12,2,172,5,Some Random Commen with Id 52
53,12,2,29,2,Some Random Commen with Id 53
54,12,2,123,2,Some Random Commen with Id 54
55,13,0,51,3,Some Random Commen with Id 55
56,13,0,124,0,Some Random Commen with Id 56
57,13,0,72,5,Some Random Commen with Id 57
58,13,0,47,3,Some Random Commen with Id 58
59,13,0,181,0,Some Random Commen with Id 59
60,13,0,143,0,Some Random Commen with Id 60
61,13,0,26,2,Some Random Commen with Id 61
62,13,0,24,8,Some Random Commen with Id 62
63,13,0,11,5,Some Random Commen with Id 63
64,14,9,60,3,Some Random Commen with Id 64
65,14,9,157,4,Some Random Commen with Id 65
66,14,9,137,9,Some Random Commen with Id 66
67,14,9,100,8,Some Random Commen with Id 67
68,15,0,42,8,Some Random Commen with Id 68
69,15,0,76,6,Some Random Commen with Id 69
70,15,0,163,5,Some Random Commen with Id 70
71,15,0,10,1,Some Random Commen with Id 71
72,15,0,19,2,Some Random Commen with Id 72
73,15,0,2,3,Some Random Commen with Id 73
74,16,6,140,1,Some Random Commen with Id 74
75,16,6,86,9,Some Random Commen with Id 75
76,16,6,101,6,Some Random Commen with Id 76
77,16,6,12,9,Some Random Commen with Id 77
78,17,8,131,4,Some Random Commen with Id 78
79,18,8,127,0,Some Random Commen with Id 79
80,18,8,120,8,Some Random Commen with Id 80
81,18,8,70,4,Some Random Commen with Id 81
82,18,8,39,9,Some Random Commen with Id 82
83,18,8,38,9,Some Random Commen with Id 83
84,18,8,4,0,Some Random Commen with Id 84
85,18,8,195,7,Some Random Commen with Id 85
86,18,8,123,1,Some Random Commen with Id 86
87,19,0,175,2,Some Random Commen with Id 87
88,19,0,137,6,Some Random Commen with Id 88
89,19,0,179,5,Some Random Commen with Id 89
